c1,sc1,synthetic_planet1_mtrue,synthetic_planet2_mtrue,synthetic_planet3_mtrue,synthetic_planet4_mtrue,synthetic_planet5_mtrue,synthetic_planet6_mtrue,synthetic_planet7_mtrue,synthetic_planet8_mtrue,synthetic_planet9_mtrue,synthetic_planet10_mtrue,synthetic_planet11_mtrue,synthetic_planet12_mtrue,synthetic_planet13_mtrue,synthetic_planet14_mtrue,synthetic_planet15_mtrue,synthetic_planet16_mtrue,synthetic_planet17_mtrue,synthetic_planet18_mtrue,synthetic_planet19_mtrue,synthetic_planet20_mtrue,weights,logz,logzerr
0.90102655,0.043947403,8.778355506,7.248418767,5.876235076,7.097208627,8.934595695,3.986529533,4.156544772,2.64732233,5.070249359,5.762798363,8.464587742,10.28200037,5.272495748,4.716945603,7.019087116,8.505555652,9.209393067,8.217628617,4.580053979,5.153165655,0,-1012.677351,0
0.036233037,0.032283729,8.520786399,7.630983137,5.222550554,6.433508496,9.122238799,4.300379194,4.041027484,2.808342945,5.573096676,5.630808477,9.448445375,9.303214135,5.00299245,4.972766372,7.015058621,7.441184812,8.315149915,8.479041646,4.735758844,5.201558771,0,-776.6342932,0
0.797195932,0.003403273,8.91172448,7.729202509,5.275634559,5.970178453,9.239193221,4.56906395,4.339218426,2.723968625,4.725858059,5.865561095,9.410802389,9.322302072,5.05777378,5.332192012,7.134337921,8.123373152,9.185880472,7.830871062,4.807292309,5.100561592,0,-757.6430781,0
0.823094744,0.034470623,8.005730164,8.326919013,5.255723498,6.415513959,9.196626923,4.0940032,4.461739617,2.739163996,4.728255963,5.654188973,9.860251276,9.961509739,5.017497916,5.038722442,6.606525126,7.287653104,8.704901764,8.511921847,4.463037267,5.554141282,5.38E-295,-680.714523,6.00E-148
0.039239305,0.04532308,8.46592403,7.805626691,5.394340168,6.651403141,9.109978249,4.494393203,4.114702424,2.697977916,4.779714402,5.243457885,9.540352496,8.420406764,4.824225159,5.29859072,6.430699587,7.703180681,8.126260011,7.85639548,4.27248201,5.299455256,1.61E-284,-656.5934297,1.02E-142
0.81014985,0.039829347,8.492930643,8.080876964,5.461155396,6.651786642,9.247160807,4.475457705,4.146331309,2.754658264,4.413432632,5.369669645,9.238029048,9.688310306,5.122428112,5.049975004,6.836296705,7.948977774,8.339245612,8.446837789,4.185646774,4.910436978,2.13E-246,-568.8171401,1.09E-123
0.887068884,0.079163031,8.24969259,7.594086154,4.679624869,6.317813479,9.447092555,4.423549344,3.944272642,2.634761372,5.287805476,5.232795146,9.283205219,9.336716106,4.974205267,5.54212334,7.386507248,7.970193975,9.279812923,8.494632964,4.779402392,5.033555961,3.16E-220,-508.5548313,1.25E-110
0.735351977,0.015156074,8.704444819,7.975775379,5.696479246,5.912285716,9.081980238,4.485971316,4.288164801,2.670090487,5.068840004,5.228653074,9.39243087,9.583379921,5.521125867,5.278101619,7.187721892,8.112829474,7.95903881,8.353287678,4.940431011,5.22183433,6.84E-199,-459.426991,5.54E-100
0.192294817,0.007572169,8.934715494,7.503603765,5.246962968,7.075391927,9.896947564,4.824949553,3.998233262,2.847797229,4.789456867,5.552418983,9.089560561,9.823559777,4.856449447,5.036311227,6.869223466,8.335043541,9.201894099,8.773443894,4.232528227,5.003537754,1.06E-194,-449.7782459,6.82E-98
0.195656799,0.002237084,8.413408515,8.531866298,5.421066872,6.704397112,9.230853814,4.719344253,3.966908233,3.176238707,5.061833372,5.605511158,9.46393986,9.849781014,5.196110652,5.013934141,7.020909686,7.980880548,8.386225673,7.880577444,4.592976665,5.112765934,3.43E-190,-439.3946336,1.21E-95
0.762729665,0.037055614,8.744904686,8.089732501,5.181249231,6.867200525,8.733006034,4.536748025,4.242466623,2.966665777,5.440781408,5.90856745,8.676519905,9.358908512,4.779440754,5.126391544,7.264171062,7.248797507,8.778946645,7.446085267,4.939505996,5.132977343,4.52E-186,-429.9086077,1.38E-93
0.168901434,0.04373154,9.09754023,7.417018515,5.353010058,6.37167837,8.322488841,4.643231038,3.689819417,2.561644227,5.029207663,5.800346933,9.173883039,9.165277179,5.267773797,4.824065609,7.617608798,7.644572751,8.422049137,8.64237521,4.378829852,4.935395411,1.16E-167,-387.5205572,2.09E-84
0.756784664,0.043203429,7.631051069,7.302701982,5.281995837,6.007403426,9.097314386,4.569104383,4.205352756,2.810307821,5.651013514,5.708361122,8.81626017,9.572483807,4.744471483,5.085306148,7.366882555,8.213436724,7.827929952,7.891150308,4.571800821,4.559758397,5.40E-162,-374.467966,1.40E-81
0.018826632,0.090882215,8.867284868,7.947386307,5.572592564,5.721886964,9.717494068,4.315671342,3.860559314,2.869545627,5.111791859,4.983950397,8.472166709,10.12219302,5.441145459,5.12263648,7.028342606,7.922717691,8.699987603,8.233354038,4.776913575,5.343200566,1.18E-157,-364.4773006,2.04E-79
0.033492568,0.102129679,8.297883843,7.953058458,5.139094742,6.116512366,9.792286716,4.355270857,4.248841776,3.031145173,4.989182802,5.780067803,9.293562282,10.67720333,5.076869915,5.064205153,7.029038911,8.152217824,8.195641496,7.934795303,4.745875947,5.484705477,1.38E-128,-297.5416448,6.30E-65
0.116288444,0.082475688,8.658034748,8.313034974,5.281553336,6.449268021,8.456351968,4.608282981,4.220566822,2.93773853,5.482566189,5.784663165,9.065294381,10.51040361,4.557054647,5.498406816,6.972136823,7.980545379,8.525638046,8.333786717,4.516575164,5.079771151,2.99E-127,-294.4236158,2.98E-64
0.674085925,0.013954268,8.570583231,7.029401499,4.954283717,6.28547465,8.952876958,4.609399451,4.021474797,2.74860145,5.171027398,5.904615601,8.953865532,9.810408971,5.099983533,5.221523368,6.703386693,8.122127228,7.994222419,8.220306808,4.253719338,5.247325914,1.30E-125,-290.6717082,1.93E-63
0.739712394,0.051430187,8.207917627,7.608470721,5.195990406,6.143810055,9.047106168,4.834223221,4.318084008,2.827100589,5.206814269,5.205688691,8.384882052,9.922300962,5.198400056,4.832740229,7.011816595,7.679091369,8.187781434,7.968403622,4.431806363,5.518011952,4.30E-122,-282.5921749,1.08E-61
0.128412782,0.086960549,9.318349256,8.134597217,5.312785634,6.42752709,8.966240987,4.775270351,3.731271634,3.003534835,5.15260333,5.115966893,8.053834418,9.603909499,5.113072278,5.191786915,7.383343328,8.031002444,8.851588489,8.024426777,4.456831311,5.157698018,1.33E-113,-263.0410633,1.83E-57
0.676507407,0.033265333,7.8925569,7.818267537,5.131905861,6.201831393,9.16711101,4.831678247,4.299240513,2.771894096,5.085091271,5.246934466,8.743811727,9.745527022,5.005543286,5.376299305,7.145623309,7.493371663,8.850836312,8.092309307,4.28988828,5.130632884,4.29E-101,-234.2405827,3.10E-51
0.795275913,0.087814755,8.963729155,7.699256857,4.812632144,5.99872221,9.287862961,3.937920138,4.437031754,2.600917327,5.144993409,5.569100429,9.153611153,9.778819833,4.958246378,5.047107313,6.962946275,7.662320384,8.869781832,8.894959771,4.666065722,5.516047328,7.04E-100,-231.3837823,1.28E-50
0.227234254,0.048446574,7.680928415,7.870147959,5.281079194,6.672316655,7.789383298,4.44360404,4.04214442,2.947368802,4.434614208,5.359738174,9.661886124,9.422285543,4.38674591,5.270986114,6.770838128,8.159297199,8.481352345,7.971410724,4.223738839,4.785224621,1.49E-98,-228.3380696,5.85E-50
0.066166824,0.135774252,8.202118883,7.877986763,5.183930658,6.363074941,9.804604808,4.232721602,4.049676599,2.920959085,4.699539543,5.184836135,9.572611569,9.566019231,4.860071049,5.868609004,6.335805051,8.368693942,8.714236731,8.133304479,4.316534984,5.327371399,9.49E-79,-182.7890689,4.04E-40
0.842650555,0.133486614,8.648268347,7.459210501,5.063435438,6.291508734,9.108393612,4.458308195,4.413921103,3.059807532,5.131832297,5.274002112,9.670402854,9.801251655,5.267525201,5.0223224,7.47227813,8.280565395,9.049611477,8.901732827,4.728594691,4.827473242,1.98E-73,-170.5404297,1.78E-37
0.048690631,0.151151361,8.775672267,7.738065475,4.715302455,6.388283662,10.18707167,4.366236047,3.655373307,2.742493986,5.29562585,5.91401973,8.996005427,9.866434918,5.211503989,4.662134187,7.355583693,8.790681257,8.127907087,7.877984833,4.627829669,5.414901226,1.16E-71,-166.4526198,1.36E-36
0.93063781,0.200326443,8.469821152,8.353705428,5.451545051,6.179764925,9.527181208,4.367076353,4.412516706,2.894844042,4.926010518,5.387525897,9.369803062,9.465029118,4.956522213,5.06822298,6.841030927,7.912329939,9.180079316,7.513592016,4.277994065,5.786634447,1.32E-69,-161.7299091,1.42E-35
0.180672019,0.103349277,8.688725388,7.675300154,5.302736903,6.425510802,9.204497378,4.850655735,4.385969344,2.584887899,4.582159656,5.54686234,9.960836394,9.625496936,5.522730533,5.185544228,6.687045317,8.100326379,8.493974743,8.765001878,4.690287168,4.914854922,6.71E-68,-157.7881856,1.00E-34
0.067207368,0.152954307,7.893949547,7.970705784,5.452386529,6.028431409,8.689352876,4.215226694,4.287468683,2.446172628,4.856403774,5.693560947,9.39560326,9.738838381,4.999669091,5.209450165,6.883173704,7.471437868,9.167298686,7.532439572,4.567541889,5.310178189,2.31E-65,-151.9645741,1.81E-33
0.931419073,0.22438532,8.085505917,7.30517821,5.413952613,5.975544418,9.712393476,3.753503699,3.725690703,2.671127598,5.379466129,5.757579853,9.642709738,8.567009149,5.548218451,4.687152827,6.778504635,8.250355987,7.703210748,7.931671247,4.830664527,5.564254379,5.68E-63,-146.4567039,2.78E-32
0.824092216,0.144670134,8.217134021,7.458243089,4.64167627,6.768183358,9.476756353,4.362836245,4.187301693,2.70748977,5.445189643,5.682369441,8.197404987,10.38029273,5.027132908,5.659884766,7.689295263,7.895523707,8.292717283,8.71357742,4.890951486,5.227724154,4.40E-59,-137.5056016,2.36E-30
0.860079292,0.165114643,8.414243706,8.549633935,4.98941495,6.329909571,9.53643302,4.474661071,3.741427082,2.792083709,5.303909766,5.530002836,9.151644628,9.832257701,4.958309285,5.414663903,6.499316692,8.125038813,7.921262797,8.341764748,4.718267398,5.282198694,2.05E-57,-133.6457082,1.60E-29
0.843973723,0.161768718,8.272614547,7.74840039,4.975365833,6.072598908,9.447839046,4.552394797,4.022480112,2.748261383,5.420134201,5.661219055,9.311213731,9.299802249,5.206827151,5.116110134,6.78353135,8.426591811,8.712704116,7.500959012,4.589569541,5.121065941,8.09E-52,-120.7795348,9.43E-27
0.061325814,0.180983368,9.787473013,7.969323649,4.831882631,6.306278386,9.433557851,4.087740044,3.852053464,2.692884443,5.443334342,5.484589732,9.142908136,10.00374413,4.962279069,5.524672714,7.363882457,8.664439592,8.695297532,8.125637183,4.495876141,4.904500507,1.97E-51,-119.5438338,1.75E-26
0.734535107,0.103782087,9.559108311,7.156739127,4.569059079,6.970649992,9.252110471,4.390178939,4.202009672,3.053790314,4.943662597,5.460058986,8.820568257,10.2444135,5.188906176,5.304139105,6.678683196,8.016620688,8.870633913,8.183038197,4.693258372,5.153645197,2.58E-50,-117.2148535,5.53E-26
0.711009741,0.090442469,8.222487349,7.705852877,5.229286842,6.143701862,9.776675858,4.364054922,4.117951354,2.843359065,4.989661738,5.651945088,9.144332779,9.625784771,5.2475189,5.437753378,7.103694468,8.384658323,8.628553282,7.44639301,4.686192139,5.123180791,6.24E-48,-111.8236605,7.96E-25
0.781592129,0.136281839,8.456399685,7.996007791,5.367630396,6.392600551,8.779245332,4.420230707,4.06643722,3.10805818,5.1773472,5.40467528,9.29882539,9.281761924,4.942872861,5.154404795,6.282803656,8.728930919,8.683177464,8.166801101,4.476163685,5.221357827,1.71E-44,-103.9096612,4.00E-23
0.027291016,0.206463173,9.165656813,7.622956118,5.031463005,6.527357375,8.378999845,4.242856833,3.894002904,2.854604221,5.250868952,5.800550811,8.989718343,10.17976334,5.307251453,5.212262102,6.974569008,8.001958504,8.641995254,7.530441932,4.717774353,5.478305014,5.01E-44,-102.5435123,7.90E-23
0.794279158,0.14937409,8.396677585,7.46561544,5.190402166,6.977590584,10.16314579,4.803795807,3.992319388,2.963371446,5.198524512,5.319538928,9.396294788,10.0895799,5.272231998,5.0475196,7.05587514,8.598152494,8.034365898,8.552758086,4.379555009,4.964724103,2.70E-43,-100.93077,1.75E-22
0.938935796,0.274691429,8.264438096,7.76808412,4.990377363,6.14682032,9.311112418,4.005526807,4.161089051,2.730286306,5.047777555,5.23236399,9.900544589,9.223446477,4.972228566,4.912834754,7.097268211,7.960091949,8.313343562,8.392348203,4.623357605,5.217539474,1.33E-41,-97.2336145,1.09E-21
0.168074186,0.157193879,8.962946693,7.747308995,5.159298711,6.221855083,8.44645329,4.250805611,3.874097962,2.688316851,4.884697263,5.284164269,8.41845295,10.81938694,5.307997752,5.074381291,6.136540588,8.009596635,8.61814845,8.659113426,4.510070228,5.2212048,7.15E-41,-95.40008684,2.70E-21
0.915746626,0.266377296,8.638348113,7.803107877,4.946200873,6.54292502,9.31785703,4.400829683,4.118045438,2.612223293,4.813455075,5.634768213,9.213087636,10.15587966,5.329543804,5.362558648,6.227270876,8.419912902,8.090451059,8.508339723,4.837283318,5.163563645,1.46E-37,-87.9510221,1.06E-19
0.073340233,0.213863098,9.089464782,7.525553808,5.306598857,6.648466477,8.689164504,4.709337712,3.729314413,2.942637139,5.057704183,5.451796105,9.255113444,9.612882889,4.877580592,5.494461191,7.201585278,8.265721815,8.536773527,7.751644025,4.994919396,4.779217435,8.56E-37,-86.02649219,2.76E-19
0.818219832,0.188859301,8.729974126,8.083150174,5.302920773,6.578304672,9.235974564,4.697408885,4.237978165,2.844944137,5.025315799,5.196903313,9.187495402,9.18263288,4.480083959,5.113014779,7.185165227,7.93012784,9.412717443,6.784533,4.408637009,5.350771592,3.59E-36,-84.50493153,5.86E-19
0.891353712,0.263749977,7.942718346,8.21073336,5.166357082,7.10499644,9.670257505,4.273107796,4.539585618,2.840683741,5.16849744,5.803362854,9.118824296,9.502752921,5.258800497,5.382776813,6.68528319,7.807193639,7.995206222,7.971124722,4.499497567,4.950115712,6.02E-34,-79.62012089,6.47E-18
0.04905372,0.243098616,8.946733832,7.801842595,5.575571159,6.328774612,9.292806318,4.33783737,4.392467976,2.71989369,4.965029063,5.032092891,9.595973233,9.752435259,5.423235149,5.387484729,7.76325047,8.203669328,8.536210097,8.696875526,4.522794444,5.307734535,1.17E-32,-76.60869024,2.86E-17
0.05725644,0.236525091,8.213273785,7.479266061,5.428878923,6.06777554,8.725440355,4.116457941,3.933496066,2.851849224,5.195688933,5.31580434,9.25387792,9.695367814,5.332028424,5.62201354,6.563793489,7.685382,8.30773309,7.874280821,4.621098093,4.959028263,2.58E-32,-75.4806764,5.01E-17
0.03980718,0.250984632,8.737142118,7.952658392,4.926826868,6.685205621,8.648472203,4.525860867,4.188016709,2.867437569,5.337573419,5.611764901,8.924368643,10.19580498,4.942778516,5.103650776,7.014015721,8.572569194,8.10346896,9.32202038,4.634940522,4.694700711,3.02E-32,-74.89707077,6.70E-17
0.815067491,0.202210144,7.899207873,7.320232619,5.003211414,6.716859631,8.486142889,4.567783759,4.099229515,3.088709115,4.839819019,5.778802055,9.684052885,9.650568828,4.659304898,5.52845301,7.468207539,8.080345089,8.866241222,7.501699973,4.618977165,5.347691261,9.52E-32,-74.02419345,1.03E-16
0.907250154,0.294023694,8.494073987,7.79043687,5.279317018,6.50727277,9.23886178,4.867877991,4.008260386,2.869902251,5.34468398,5.653225655,9.35943049,9.011682139,5.124986234,5.836708557,6.948069867,7.774454991,8.24747201,8.432590049,4.368619722,5.096348819,6.78E-31,-72.38617613,2.30E-16
0.077497886,0.249137177,8.981701351,8.128280024,5.439462217,6.025567998,9.923337214,4.439489697,3.962182579,2.949638475,5.234536142,5.558849489,8.895641825,9.168715636,5.414132437,4.790055454,7.543569604,7.575017556,8.913186831,7.793873934,4.838694181,5.849780804,2.41E-30,-71.03436863,4.47E-16
0.101424538,0.240679218,8.708829464,8.544108886,5.217725942,5.962038373,8.795740533,4.704081996,3.857723343,2.965878281,4.971500835,5.58935638,9.189807669,11.00723624,4.925447228,4.969768381,6.5831511,8.129468566,8.433765672,7.881467334,4.670289979,4.738229594,1.67E-28,-67.07531972,3.10E-15
0.904235005,0.296694874,8.372014366,7.678663248,5.377061994,6.085222902,9.744679652,4.493572351,4.229073649,2.71998706,4.868800089,5.715778076,9.098424743,9.944790684,5.182760883,5.343307045,7.222952087,8.028363731,8.388698213,7.712376019,4.442933752,4.700144298,4.68E-28,-65.75462824,5.98E-15
0.531285221,0.036647136,8.812177169,8.288535763,5.079402533,6.592444534,8.623764405,4.28216023,4.412575233,2.772521224,5.351381281,5.41617682,9.53332264,9.575661577,4.885810225,5.422087991,6.505896741,8.058682896,8.199570195,8.308022275,4.9025948,5.257315182,1.38E-27,-64.60342635,1.05E-14
0.21469563,0.15584271,8.590754418,7.532693265,5.253830663,6.079834665,8.956693624,4.621800609,4.195365686,2.60693889,5.157825458,5.360116161,9.774915345,9.275816517,4.782284286,5.191765468,6.838704018,7.948209914,8.517961854,8.105921607,4.827948673,5.302546766,1.47E-26,-62.48801896,2.96E-14
0.554876581,0.055312807,9.264236502,8.108008724,5.460290613,6.693321973,9.464742992,4.417005399,4.185215478,2.883100769,5.1417303,5.819980537,9.426086189,8.744027578,4.75143281,5.064885384,6.472111839,7.473724545,8.87390507,7.180955936,4.279815213,5.39769314,3.14E-26,-61.43123401,5.00E-14
0.07998286,0.255244434,8.611903096,8.037520156,5.377720561,6.389592774,9.307777302,4.469040345,3.968406691,2.799118367,4.999865999,5.796371248,9.470729084,9.697642845,5.178886335,4.946163418,6.375915415,8.410730382,9.253521812,7.662130082,4.512674542,5.155251103,1.04E-25,-60.28189404,8.79E-14
0.164437971,0.23689467,9.566512473,8.216788609,5.492271853,6.645851894,9.87275695,4.764343902,3.900612021,3.009461074,5.106769657,5.494392319,8.875493644,10.10769025,5.273930706,5.494732344,6.642136549,7.998929854,7.89835401,8.649268855,4.606009676,5.862578319,2.40E-24,-57.46055141,3.47E-13
0.537308123,0.05314662,8.255538115,7.761756813,5.129767118,6.203051044,9.511362236,4.438193295,3.697088826,2.964402443,4.71393202,5.558789654,9.914498132,10.16509978,5.770825874,5.51388701,6.990486409,7.72021663,8.241342966,8.135950021,4.915191935,4.895114763,1.96E-23,-55.30089474,1.00E-12
0.868155023,0.306408569,7.966277613,8.199390661,5.214934123,6.265597479,10.20834757,4.525280948,4.211029212,3.046885102,5.137484617,5.808050896,9.401065038,10.46245681,4.721025983,5.226307565,6.909499673,8.102059802,8.151325195,8.27799903,4.611407021,5.580177738,4.77E-23,-54.15203333,1.77E-12
0.9382739,0.412004696,9.003541975,7.930880884,5.446578216,6.346567838,9.380778168,4.262181192,3.624768836,2.859749278,5.082599144,5.407393498,8.927549394,10.04864526,4.991181494,4.822384849,6.735386194,7.444728865,8.553737304,7.642035709,4.457339131,5.383358962,6.21E-23,-53.51543996,2.42E-12
0.875372153,0.314819988,9.011017728,7.682798714,5.249012164,6.461672013,8.641948232,4.349521327,4.087511621,2.966444274,4.562022268,5.505968213,9.666768579,9.015453069,5.040949641,4.821019271,6.840846086,8.775307377,9.200863479,8.02156706,4.864161535,5.26943742,6.48E-23,-53.11580208,2.95E-12
0.841619596,0.273294462,7.988510145,8.173236159,5.207443482,6.285385807,8.935005594,4.508592179,4.118473409,2.581483551,5.044262438,5.994405929,9.111362378,10.63323899,5.327700463,4.852702217,6.512215666,7.438784898,8.156019047,8.043729959,4.374121674,5.334422999,6.98E-23,-52.81224115,3.43E-12
0.065318963,0.315720754,8.770564294,8.299911846,4.809574331,6.149444027,9.333873628,4.646219822,3.564320832,2.948367901,4.98136257,5.466948584,9.05546243,9.072339738,4.729791294,4.965059669,7.411346176,8.20377612,8.338831567,7.433735968,4.775897764,4.952879795,2.04E-22,-52.24283128,4.53E-12
0.271142822,1.957569963,8.331132008,8.521639639,4.972306828,5.319245386,8.707508106,4.481699691,4.165700472,2.750347703,4.954804303,4.853344579,8.77030482,10.00775906,5.682571629,4.847913617,6.305771998,8.499757719,8.86129647,7.8792188,4.770723626,5.454602339,3.40E-22,-51.69894948,5.91E-12
0.212702148,0.177529278,8.411502133,7.163032494,5.092116604,6.448156812,9.701049077,4.640208582,4.310893472,2.793605229,4.767645477,5.161196048,9.310134242,9.932843236,5.334875585,5.309341025,7.24742,7.737887509,8.736672773,8.111019125,4.560438753,5.200735276,3.93E-22,-51.30395205,7.18E-12
0.420872643,1.72334034,8.49992304,8.123164172,5.557334185,6.710722441,10.34315454,4.301083363,4.387751548,2.998422541,5.047836877,5.524053067,8.275384442,10.31973756,5.308654309,4.630282532,5.933164839,7.91086327,8.546520912,8.891663109,5.186864135,5.076996484,4.44E-22,-50.98991182,8.39E-12
0.53778394,0.05018724,8.675878135,7.511182804,5.479420331,6.362627317,9.706644788,4.686872784,4.267544622,2.833725778,4.957800783,5.637821433,8.442884256,9.657913507,4.773615601,4.802542721,7.001322362,7.604764002,8.158867752,7.911981752,4.470999556,5.159924002,4.63E-22,-50.7423318,9.48E-12
0.362978937,1.988058924,8.470010301,7.778719617,5.229703285,6.079757741,8.574816067,4.330085628,4.23481914,2.62908403,4.467397489,4.625343622,9.457345929,10.04897661,5.536774029,5.590603555,7.487058138,7.618504403,8.775913153,8.625552403,4.291275227,5.393629266,5.41E-22,-50.51418244,1.06E-11
0.403214193,1.677469154,8.400576704,7.108128996,5.008958864,6.489890457,8.988813332,4.375786553,4.453959958,2.708687483,4.827775489,5.69373427,8.53932339,10.69439954,5.400103817,4.344777873,7.464365442,8.154478653,8.130187326,7.527499879,5.144030009,5.613500016,8.59E-22,-50.23374689,1.22E-11
0.729367894,1.645670714,8.708082831,8.307534753,4.795162711,6.234782822,9.619812087,4.316947587,4.145191685,2.249755441,4.412106555,5.6850933,9.266078076,9.031826298,5.040187981,4.640160498,7.218859163,7.999952417,8.573814319,8.171816187,4.379944489,4.551430904,1.34E-21,-49.91104396,1.42E-11
0.561588647,1.961523584,8.130225919,7.702384755,4.579807146,6.780840244,9.815603772,4.374840911,3.977413511,2.669920558,4.853299668,6.220042168,9.581553577,10.23286582,5.287868069,5.629968946,6.938776901,7.655812026,9.051321781,8.216853372,5.164334103,5.112427263,1.96E-21,-49.57200489,1.68E-11
0.247978958,1.573881166,9.506085511,8.303353893,4.493382339,5.546483106,9.035991761,4.09612062,4.229838468,2.741940856,5.037107364,5.180316076,9.764693096,9.659612242,4.647353254,4.869126869,7.334057395,8.905587598,8.348270379,7.764521493,5.099115728,5.162607969,2.46E-21,-49.26368329,1.95E-11
0.126066429,1.719908325,9.546631133,6.819651663,5.397707818,6.291954549,8.26055284,4.345680907,4.522944878,2.598669842,4.549586945,5.5899627,9.799959372,9.875377332,5.204477681,5.549134654,6.219813954,7.78072988,8.805756427,8.184815761,4.859298575,5.066250304,2.63E-21,-49.01342956,2.21E-11
0.891977075,1.939578387,8.424655379,7.829457149,5.305271887,5.935871848,9.657812151,4.260877896,4.112297091,3.198231812,4.788093206,5.142498459,9.786347453,10.3857844,4.900547151,5.35211347,5.860413904,8.318302404,8.171221972,8.475021068,4.610046294,5.225698125,3.97E-21,-48.72552713,2.54E-11
0.081818345,0.321454178,8.431060363,8.274508106,5.232042239,6.48628338,10.45267977,4.40392063,3.960721785,2.971748139,5.541704685,6.092944553,9.159228114,9.560853384,5.178825249,5.431734594,7.311271396,7.692893538,9.081746334,8.000791648,4.552118826,5.104952558,5.78E-21,-48.41481055,2.96E-11
